Position	XHC133-SI-GA-G4
chrX:123912189-123912301	
chrX:123911452-123911564	
chrX:123910817-123910933	
chrX:123880687-123880806	
chrX:123876171-123876284	
chrX:123869488-123869598	
chrX:123603027-123603140	
chrX:123602963-123603075	
chrX:120524719-120524830	
chrX:120437362-120437476	
chrX:120256738-120256852	
chrX:120253928-120254048	
chrX:120143741-120143851	
chrX:119618493-119618603	
chrX:119598040-119598161	
chrX:119593559-119593675	
chrX:119539480-119539600	
chrX:119431501-119431615	
chrX:119416015-119416125	
chrX:118799000-118799113	
chrX:118792970-118793080	
chrX:118676549-118676660	
chrX:118516389-118516501	
chrX:118449345-118449455	
chrX:118431844-118431971	
chrX:118365457-118365567	
chrX:118359029-118359139	
chrX:115737793-115737904	
chrX:115571464-115571578	
chrX:111702791-111702902	
chrX:111619044-111619160	
chrX:111270383-111270493	
chrX:110675697-110675813	
chrX:110675676-110675796	
chrX:110674407-110674555	
chrX:110196349-110196459	
chrX:110174329-110174442	
chrX:110173410-110173524	
chrX:110020918-110021045	
chrX:109694489-109694604	
chrX:109670534-109670649	
chrX:109642542-109642652	
chrX:108696363-108696478	
chrX:108439908-108440018	
chrX:108078892-108079002	
chrX:107926016-107926128	
chrX:107603197-107603318	
chrX:107085210-107085326	
chrX:107083122-107083235	
chrX:107064354-107064469	
chrX:107062590-107062701	
chrX:106941321-106941461	
chrX:104191118-104191228	
chrX:104129810-104129946	
chrX:104124703-104124813	
chrX:104123495-104123607	
chrX:103822946-103823059	
chrX:103792069-103792182	
chrX:103675693-103675806	
chrX:103377424-103377534	0
chrX:103217056-103217166	
chrX:102154232-102154348	
chrX:101554640-101554750	
chrX:101413894-101414007	
chrX:101095485-101095596	
chrX:101095260-101095374	
chrX:101047776-101047888	
chrX:101045405-101045520	
chrX:101040242-101040359	
chrX:101010359-101010469	
chrX:100675845-100675970	
chrX:100660812-100660924	
chrX:97578043-97578160	
chrX:97468588-97468705	
chrX:97221077-97221187	
chrX:97220317-97220431	
chrX:97177659-97177776	
chrX:96977640-96977752	
chrX:96903083-96903197	
chrX:86015011-86015122	
chrX:85863045-85863158	
chrX:85356501-85356611	
chrX:85329580-85329694	
chrX:85279325-85279435	
chrX:85089916-85090031	
chrX:80676323-80676435	
chrX:79360896-79361007	
chrX:79360708-79360823	
chrX:78961852-78961963	
chrX:78131132-78131245	
chrX:78126596-78126706	
chrX:78046820-78046930	
chrX:77681738-77681849	
chrX:77599534-77599657	
chrX:77593779-77593890	
chrX:77508151-77508264	
chrX:77507134-77507244	
chrX:75057713-75057825	
chrX:74613345-74613455	
chrX:74588423-74588552	
chrX:74587413-74587523	
chrX:74277230-74277347	
chrX:74269335-74269446	
chrX:74263600-74263712	
chrX:74245958-74246072	
chrX:74225417-74225529	
chrX:74225028-74225139	
chrX:74207371-74207481	
chrX:74205170-74205286	
chrX:74071603-74071714	
chrX:74009183-74009299	
chrX:73984511-73984626	
chrX:73949680-73949791	
chrX:73852055-73852168	
chrX:73851960-73852071	
chrX:73847354-73847468	
chrX:73823259-73823376	
chrX:72526230-72526340	
chrX:72416464-72416575	
chrX:72398795-72398905	
chrX:72153126-72153237	
chrX:72152307-72152441	
chrX:72151133-72151247	
chrX:72148790-72148929	
chrX:72144654-72144796	
chrX:71574703-71574821	
chrX:71574587-71574700	
chrX:71465658-71465772	
chrX:71465433-71465555	
chrX:71464655-71464768	
chrX:71300337-71300451	
chrX:71129688-71129798	
chrX:71058338-71058449	
chrX:70503547-70503660	
chrX:70502374-70502487	
chrX:68842085-68842197	
chrX:68841307-68841435	
chrX:68534511-68534622	
chrX:68534230-68534342	
chrX:68532549-68532668	
chrX:68208029-68208147	
chrX:67730134-67730245	
chrX:67724227-67724338	
chrX:66240471-66240584	
chrX:64987639-64987750	
chrX:63754358-63754470	
chrX:63637868-63637985	
chrX:63453900-63454014	
chrX:57353437-57353550	
chrX:56990866-56990982	
chrX:56565941-56566055	
chrX:56565761-56565872	
chrX:56268955-56269077	
chrX:55144540-55144663	
chrX:54562744-54562859	
chrX:54562569-54562679	
chrX:54561021-54561143	
chrX:54445437-54445550	
chrX:54444562-54444672	
chrX:54015112-54015222	
chrX:53953277-53953387	
chrX:53559456-53559566	
chrX:53532870-53532985	
chrX:53192206-53192316	
chrX:53087946-53088056	
chrX:53082526-53082648	
chrX:51890782-51890899	
chrX:51816685-51816797	
chrX:49190470-49190586	
chrX:49183610-49183729	
chrX:49069331-49069441	
chrX:48980833-48980946	
chrX:48973826-48973950	
chrX:48973719-48973837	
chrX:48957678-48957801	
chrX:48579023-48579135	
chrX:48578520-48578633	
chrX:48578138-48578249	
chrX:48549942-48550053	
chrX:48523661-48523779	
chrX:48520547-48520672	
chrX:48510724-48510847	
chrX:48458649-48458767	
chrX:47807283-47807405	
chrX:47635527-47635637	
chrX:47247901-47248017	
chrX:47229213-47229326	
chrX:46619686-46619799	
chrX:46604384-46604500	
chrX:46473605-46473722	
chrX:46453399-46453509	
chrX:45082669-45082781	
chrX:45076629-45076742	
chrX:45027286-45027418	
chrX:44964400-44964518	
chrX:44929777-44929888	
chrX:44916975-44917090	
chrX:44542638-44542748	
chrX:41733703-41733822	
chrX:41520005-41520117	
chrX:41519828-41519941	
chrX:41519497-41519607	
chrX:41516811-41516922	
chrX:41515638-41515748	
chrX:41349850-41349965	
chrX:41236117-41236227	
chrX:41232883-41232995	
chrX:40716539-40716654	
chrX:40628969-40629082	
chrX:40627136-40627248	
chrX:38805514-38805627	
chrX:38561462-38561584	
chrX:38320590-38320709	
chrX:38285364-38285474	
chrX:38220699-38220816	
chrX:37686118-37686228	
chrX:34630263-34630373	
chrX:34628499-34628611	
chrX:33164878-33164993	
chrX:33129474-33129585	
chrX:32903094-32903215	
chrX:32574849-32574963	
chrX:32148552-32148663	
chrX:31121392-31121509	
chrX:31120834-31120947	
chrX:31120303-31120416	
chrX:30850735-30850849	
chrX:30830862-30830974	
chrX:30830403-30830513	
chrX:30829323-30829438	
chrX:30728892-30729006	
chrX:24995733-24995848	
chrX:24922195-24922308	
chrX:24877877-24877987	
chrX:24788720-24788831	
chrX:24498758-24498870	
chrX:24213627-24213749	
chrX:24212826-24212941	
chrX:24180333-24180447	
chrX:24163790-24163909	
chrX:24162005-24162121	
chrX:24078358-24078470	
chrX:24077982-24078093	
chrX:24076876-24076997	
chrX:24022291-24022410	
chrX:23703727-23703837	
chrX:23703265-23703389	
chrX:23403838-23403948	
chrX:23402272-23402388	
chrX:23397218-23397329	
chrX:23078328-23078441	
chrX:21994481-21994591	
chrX:21870170-21870287	
chrX:20193229-20193341	
chrX:20154804-20154915	
chrX:20153566-20153680	
chrX:20127988-20128103	
chrX:20127674-20127789	
chrX:20127356-20127467	
chrX:20125906-20126020	
chrX:19828212-19828324	
chrX:19736856-19736974	
chrX:19722519-19722665	
chrX:19535642-19535754	
chrX:18910960-18911073	
chrX:17425472-17425621	
chrX:17151822-17151935	
chrX:17138896-17139006	
chrX:17110473-17110586	
chrX:16842100-16842211	
chrX:16832675-16832789	
chrX:16824712-16824825	
chrX:16764645-16764756	
chrX:16762092-16762202	
chrX:16705093-16705203	
chrX:16685041-16685151	
chrX:16669523-16669634	
chrX:16601522-16601635	
chrX:16596147-16596257	
chrX:16158774-16158885	
chrX:16153421-16153531	
chrX:15830204-15830314	
chrX:15826836-15826951	
chrX:15826725-15826841	
chrX:15807989-15808099	
chrX:15701939-15702049	
chrX:15544361-15544471	
chrX:15543596-15543706	
chrX:15384099-15384209	
chrX:15352999-15353110	
chrX:15345986-15346096	
chrX:14021383-14021493	
chrX:13823470-13823589	
chrX:13773903-13774029	
chrX:13773260-13773376	
chrX:13771337-13771452	
chrX:13739246-13739364	
chrX:13733093-13733205	
chrX:13713762-13713875	
chrX:13713053-13713169	
chrX:12823266-12823382	
chrX:11774915-11775025	
chrX:11518580-11518694	
chrX:11326381-11326493	
chrX:11227750-11227863	
chrX:11138397-11138507	
chrX:11137593-11137707	
chrX:11122819-11122930	
chrX:11111305-11111430	
chrX:10461048-10461163	
chrX:10448057-10448175	
chrX:10143031-10143141	
chrX:10141568-10141684	
chrX:10015672-10015784	
chrX:9719586-9719699	
chrX:9719373-9719484	
chrX:9716609-9716721	
chrX:9710187-9710297	
chrX:7352894-7353007	
chrX:7351885-7352003	
chrX:7350997-7351107	
chrX:7075455-7075581	
chrX:3899661-3899779	
chrX:3875301-3875421	
chrX:3826352-3826465	
chrX:3822890-3823001	
chrX:3822820-3822932	
chrX:3309127-3309241	
chrX:2906086-2906205	
chrX:2904853-2904970	
chrX:2741263-2741375	
chrX:2633320-2633430	
chrX:2620044-2620164	
chrX:2487318-2487433	
chrX:2397586-2397696	
chrX:2390390-2390502	
chrX:2369381-2369491	
chrX:1464737-1464848	
chrX:1462927-1463039	
chrX:1417562-1417675	
chrX:1417379-1417490	
chrX:1416447-1416558	
chrX:1416335-1416448	
chrX:1415959-1416074	
chrX:1400313-1400437	
chrX:1384154-1384265	
chrX:1382620-1382733	
chrX:1362156-1362267	
chrX:1361219-1361333	
chrX:1359981-1360094	
chrX:1359943-1360053	
chrX:1354945-1355055	
chrX:1350538-1350653	
chrX:1348726-1348839	
chrX:1347591-1347705	
chrX:1341251-1341364	
chrX:1306812-1306928	
chrX:990690-990824	
chrX:323630-323773	
chrX:315993-316104	
chrX:302220-302330	
chrX:300412-300529	
chrX:283828-283940	
chrX:282884-282995	
chrX:278688-278806	
chrUn_KI270442v1:218938-219048	
chrUn_GL000220v1:160625-160735	
chrUn_GL000220v1:159464-159575	
chrUn_GL000220v1:158051-158163	
chrUn_GL000220v1:116447-116557	
chrUn_GL000220v1:114165-114288	
chrUn_GL000220v1:114079-114191	
chrUn_GL000219v1:63084-63196	
chrUn_GL000218v1:90077-90187	
chrUn_GL000195v1:45353-45463	
chrM:463-574	
chr22_KI270733v1_random:178646-178761	
chr22_KI270733v1_random:178589-178699	
chr22_KI270733v1_random:177426-177537	
chr22_KI270733v1_random:176100-176223	
chr22_KI270733v1_random:176014-176126	
chr22_KI270733v1_random:173022-173144	
chr22_KI270733v1_random:160051-160169	
chr22_KI270733v1_random:156344-156461	
chr22_KI270733v1_random:136201-136334	
chr22_KI270733v1_random:133567-133682	
chr22_KI270733v1_random:133510-133620	
chr22_KI270733v1_random:133302-133412	
chr22_KI270733v1_random:132347-132458	
chr22_KI270733v1_random:131021-131144	
chr22_KI270733v1_random:130935-131047	
chr22_KI270733v1_random:127941-128065	
chr22_KI270733v1_random:123197-123313	
chr22_KI270733v1_random:119270-119389	
chr22_KI270733v1_random:119177-119296	
chr22:50768766-50768876	
chr22:50732735-50732846	
chr22:50530347-50530465	
chr22:50485296-50485408	
chr22:50474915-50475044	
chr22:50444576-50444687	
chr22:50444282-50444400	
chr22:50442502-50442618	
chr22:50428982-50429097	
chr22:50389948-50390059	
chr22:50385457-50385574	
chr22:50247087-50247204	
chr22:50218640-50218750	
chr22:50208380-50208496	
chr22:50204570-50204685	
chr22:50201170-50201280	
chr22:49909916-49910028	
chr22:49901554-49901664	
chr22:49876201-49876311	
chr22:49869071-49869187	
chr22:47080574-47080692	
chr22:46960969-46961081	
chr22:46737938-46738048	
chr22:46734017-46734138	
chr22:46685013-46685123	
chr22:46677252-46677365	
chr22:46364204-46364314	
chr22:46343341-46343452	
chr22:46242681-46242811	
chr22:46241993-46242103	
chr22:46241863-46241981	
chr22:46237608-46237719	
chr22:46225728-46225838	
chr22:46218802-46218921	
chr22:45920685-45920803	
chr22:45609542-45609653	
chr22:45604869-45604990	
chr22:45604372-45604482	
chr22:45600782-45600897	
chr22:45340758-45340869	
chr22:45332184-45332294	
chr22:45331329-45331440	
chr22:45328582-45328694	
chr22:45326774-45326897	
chr22:45193377-45193487	
chr22:45187368-45187482	
chr22:45187116-45187233	
chr22:45184639-45184749	
chr22:45171146-45171262	
chr22:45160909-45161025	
chr22:45140200-45140311	
chr22:45139891-45140001	
chr22:45138961-45139072	
chr22:44860612-44860723	
chr22:44732826-44732937	
chr22:43129421-43129531	
chr22:43110741-43110851	
chr22:42983266-42983386	
chr22:42934840-42934957	
chr22:42719402-42719515	
chr22:42618783-42618894	
chr22:42569789-42569924	
chr22:42569078-42569191	
chr22:42564917-42565037	
chr22:42511129-42511244	
chr22:42213270-42213382	
chr22:42212965-42213077	
chr22:42173076-42173188	
chr22:42161209-42161328	
chr22:42160590-42160702	
chr22:42094586-42094703	
chr22:42058439-42058550	
chr22:41924141-41924254	
chr22:41692352-41692479	
chr22:41691567-41691678	
chr22:41534842-41534963	
chr22:41435995-41436107	
chr22:41433859-41433969	
chr22:41387503-41387613	
chr22:41244130-41244241	
chr22:41222873-41222984	
chr22:41179830-41179973	
chr22:41179483-41179598	
chr22:41130204-41130320	
chr22:41114774-41114885	
chr22:41110909-41111026	
chr22:40932287-40932400	
chr22:40885939-40886050	
chr22:40811983-40812104	
chr22:40623276-40623389	
chr22:40618942-40619058	
chr22:40613642-40613753	
chr22:40558040-40558151	
chr22:40540726-40540846	
chr22:40335427-40335543	
chr22:40328482-40328592	
chr22:40327798-40327910	
chr22:40323736-40323850	
chr22:40323260-40323370	
chr22:40301122-40301247	
chr22:40151815-40151932	
chr22:40151487-40151602	
chr22:40124271-40124390	
chr22:40023297-40023418	
chr22:39915170-39915285	
chr22:39516111-39516228	
chr22:39477502-39477616	
chr22:39376413-39376523	
chr22:39244751-39244867	
chr22:39084478-39084591	
chr22:39053104-39053217	
chr22:39052938-39053054	
chr22:39051486-39051601	
chr22:38962907-38963020	
chr22:38864173-38864283	
chr22:38822010-38822122	
chr22:38730960-38731100	
chr22:38684150-38684268	
chr22:38683865-38683980	
chr22:38489572-38489684	
chr22:38485767-38485880	
chr22:38485644-38485758	
chr22:38317344-38317460	
chr22:38291844-38291967	
chr22:38291288-38291413	
chr22:38290855-38290965	
chr22:38290751-38290863	
chr22:38219513-38219625	
chr22:38217138-38217248	
chr22:38216360-38216472	
chr22:38206466-38206577	
chr22:38125112-38125226	
chr22:38069910-38070020	
chr22:37948588-37948704	
chr22:37946823-37946944	
chr22:37945613-37945726	
chr22:37788015-37788127	
chr22:37774073-37774190	
chr22:37773935-37774055	
chr22:37773854-37773988	
chr22:36467558-36467669	
chr22:36281457-36281569	
chr22:36266854-36266971	
chr22:36266045-36266157	
chr22:36227265-36227391	
chr22:35744033-35744152	
chr22:35743904-35744015	
chr22:35665107-35665218	
chr22:35663465-35663581	
chr22:35391242-35391354	
chr22:35289092-35289215	
chr22:35286801-35286922	
chr22:35265531-35265645	
chr22:33881006-33881118	
chr22:33878934-33879047	
chr22:33831050-33831165	
chr22:33810677-33810791	
chr22:33806958-33807069	
chr22:33751722-33751835	
chr22:33597228-33597348	
chr22:33587685-33587797	
chr22:33353349-33353462	
chr22:32861167-32861277	
chr22:32860863-32860980	
chr22:32110576-32110686	
chr22:31957354-31957468	
chr22:31944554-31944667	
chr22:31906576-31906707	
chr22:31877699-31877824	
chr22:31735592-31735707	
chr22:31706999-31707109	
chr22:31685420-31685539	
chr22:31645847-31645959	
chr22:31639130-31639244	
chr22:31455345-31455462	
chr22:31450669-31450791	
chr22:31400710-31400820	
chr22:31345976-31346090	
chr22:31288370-31288489	
chr22:31283250-31283363	
chr22:31281549-31281662	
chr22:31246722-31246834	
chr22:30976200-30976310	
chr22:30976013-30976131	
chr22:30932624-30932735	
chr22:30661980-30662101	
chr22:30661394-30661509	
chr22:30658336-30658448	
chr22:30607270-30607380	
chr22:30025998-30026112	
chr22:30011895-30012005	
chr22:29889558-29889668	
chr22:29838153-29838278	
chr22:29665198-29665308	
chr22:29648081-29648216	
chr22:29608230-29608340	
chr22:29300428-29300544	
chr22:29195765-29195892	
chr22:29150171-29150282	
chr22:29143691-29143805	
chr22:29140989-29141101	
chr22:29056056-29056168	
chr22:28788923-28789039	
chr22:28787145-28787258	
chr22:28524409-28524528	
chr22:28430837-28430953	
chr22:28377006-28377116	
chr22:27981473-27981583	
chr22:27981180-27981317	
chr22:27930250-27930361	
chr22:27924244-27924358	
chr22:26562579-26562691	
chr22:26548540-26548656	
chr22:26508793-26508907	
chr22:26498652-26498764	
chr22:26495632-26495751	
chr22:26488262-26488374	
chr22:26474330-26474443	
chr22:26444177-26444290	
chr22:26443569-26443687	
chr22:26443360-26443472	
chr22:26431367-26431482	
chr22:25196382-25196494	
chr22:25093632-25093788	
chr22:25059464-25059576	
chr22:25042592-25042704	
chr22:24965051-24965168	
chr22:24907473-24907584	
chr22:24863694-24863808	
chr22:24576205-24576316	
chr22:24576014-24576126	
chr22:24573165-24573275	
chr22:24572710-24572822	
chr22:24541578-24541695	
chr22:24441517-24441627	
chr22:24416720-24416832	
chr22:24366150-24366262	
chr22:24074267-24074378	
chr22:23881839-23881954	
chr22:23784217-23784330	
chr22:23695388-23695527	
chr22:23658062-23658177	
chr22:23657898-23658012	
chr22:23657730-23657848	
chr22:23645775-23645885	
chr22:23233763-23233874	
chr22:23180542-23180654	
chr22:23163556-23163666	
chr22:22320647-22320757	
chr22:21939602-21939712	
chr22:21760053-21760164	
chr22:21698211-21698326	
chr22:21450178-21450288	
chr22:21002589-21002700	
chr22:20953374-20953502	
chr22:20950278-20950388	
chr22:20890708-20890830	
chr22:20890569-20890679	
chr22:20889897-20890007	
chr22:20888261-20888406	
chr22:20725863-20725978	
chr22:20566476-20566612	
chr22:20145935-20146049	
chr22:20127144-20127256	
chr22:20111314-20111428	
chr22:20065295-20065409	
chr22:20065037-20065150	
chr22:20031147-20031259	
chr22:19880160-19880270	
chr22:19849322-19849435	
chr22:19441698-19441808	
chr22:19431496-19431606	
chr22:19382721-19382838	
chr22:19338358-19338470	
chr22:19082172-19082295	
chr22:18094736-18094847	
chr22:18092634-18092749	
chr22:18091428-18091538	
chr22:17998513-17998623	
chr22:17993201-17993312	
chr22:17988340-17988450	
chr22:17978467-17978581	
chr22:17959796-17959906	
chr22:17799899-17800033	
chr22:17704937-17705051	
chr22:17154566-17154682	
chr22:17110447-17110566	
chr22:16601953-16602063	
chr22:16405366-16405479	
chr21:46644241-46644351	
chr21:46569433-46569548	
chr21:46514385-46514499	
chr21:46468362-46468478	
chr21:46444597-46444714	
chr21:46360340-46360450	
chr21:46289932-46290044	
chr21:46288633-46288746	
chr21:46267536-46267649	
chr21:46237356-46237467	
chr21:46198217-46198332	
chr21:45981827-45981937	
chr21:45937363-45937475	
chr21:45515113-45515226	
chr21:45437384-45437495	
chr21:45225020-45225145	
chr21:45175783-45175894	
chr21:44771190-44771302	
chr21:44770206-44770317	
chr21:44465596-44465709	
chr21:44330245-44330358	
chr21:44144999-44145111	
chr21:44127805-44127920	
chr21:44075997-44076112	
chr21:43986628-43986739	
chr21:43985347-43985462	
chr21:43984741-43984851	
chr21:43984631-43984743	
chr21:43820795-43820910	
chr21:43760131-43760244	
chr21:43757936-43758052	
chr21:43696004-43696114	
chr21:43695124-43695236	
chr21:43694143-43694255	
chr21:43416288-43416416	
chr21:43415648-43415758	
chr21:43414577-43414688	
chr21:43357317-43357458	
chr21:43030210-43030343	
chr21:42911200-42911311	
chr21:42849044-42849158	
chr21:42846987-42847098	
chr21:42775377-42775490	
chr21:42721932-42722044	
chr21:42572772-42572884	
chr21:42518210-42518321	
chr21:42472794-42472906	
chr21:42368675-42368786	
chr21:42296574-42296687	
chr21:41988710-41988822	
chr21:41887381-41887492	
chr21:41886609-41886722	
chr21:41672683-41672797	
chr21:41451216-41451328	
chr21:41403181-41403294	
chr21:41391339-41391454	
chr21:41386945-41387062	
chr21:41345972-41346086	
chr21:41275782-41275892	
chr21:39670203-39670318	
chr21:39669871-39669981	
chr21:39669219-39669330	
chr21:39667460-39667574	
chr21:39657647-39657760	
chr21:39195692-39195804	
chr21:38823571-38823694	
chr21:38473744-38473859	
chr21:38455068-38455183	
chr21:38450155-38450265	
chr21:38436849-38436961	
chr21:38305055-38305174	
chr21:38301962-38302072	
chr21:38275469-38275591	
chr21:37514787-37514897	
chr21:37512874-37512986	
chr21:37512613-37512723	
chr21:37467056-37467171	
chr21:37370239-37370353	
chr21:37367091-37367206	
chr21:37366787-37366898	
chr21:37250254-37250369	
chr21:37122903-37123019	
chr21:37077273-37077383	
chr21:37073265-37073382	
chr21:36752595-36752710	
chr21:36750969-36751080	
chr21:36749398-36749516	
chr21:36744388-36744501	
chr21:36739027-36739137	
chr21:36719896-36720007	
chr21:36293929-36294043	
chr21:36256714-36256825	
chr21:36191205-36191318	
chr21:36139332-36139451	
chr21:35287829-35287944	
chr21:34791387-34791506	
chr21:34789554-34789668	
chr21:34389048-34389159	
chr21:34094980-34095090	
chr21:33722494-33722609	
chr21:33710755-33710869	
chr21:33701580-33701695	
chr21:33687185-33687298	
chr21:33628553-33628670	
chr21:33592093-33592210	
chr21:33579086-33579201	
chr21:33572718-33572833	
chr21:33509764-33509874	
chr21:33503819-33503930	
chr21:33471991-33472106	
chr21:33448857-33448974	
chr21:33445033-33445151	
chr21:33443848-33443967	
chr21:33437076-33437189	
chr21:33358791-33358907	
chr21:33357480-33357595	
chr21:33296903-33297023	
chr21:33264463-33264576	
chr21:33263553-33263663	
chr21:33262724-33262839	
chr21:33240764-33240878	
chr21:33233858-33233968	
chr21:33230955-33231066	
chr21:32752123-32752233	
chr21:32637283-32637393	
chr21:32601734-32601848	
chr21:32507899-32508012	
chr21:32481351-32481467	
chr21:32472592-32472703	
chr21:32463739-32463849	
chr21:32426375-32426487	
chr21:32268890-32269001	
chr21:32268745-32268855	
chr21:32001603-32001723	
chr21:31685374-31685485	
chr21:31671058-31671175	
chr21:31120790-31120902	
chr21:31119761-31119872	
chr21:31119420-31119532	
chr21:31119057-31119173	
chr21:29344584-29344719	
chr21:29012720-29012832	
chr21:29008267-29008377	
chr21:28929527-28929637	
chr21:28066439-28066549	
chr21:27850951-27851064	
chr21:27811541-27811657	
chr21:27425070-27425186	
chr21:26919177-26919291	
chr21:26837262-26837377	
chr21:26547729-26547843	
chr21:26234976-26235086	
chr21:25659204-25659317	
chr21:18284950-18285062	
chr21:18266506-18266618	
chr21:17789203-17789337	
chr21:17612655-17612766	
chr21:17594177-17594287	
chr21:17577101-17577214	
chr21:17569316-17569429	
chr21:17568507-17568624	
chr21:17568075-17568196	
chr21:17567812-17567923	
chr21:17566896-17567008	
chr21:17531248-17531361	
chr21:16555722-16555834	
chr21:16528138-16528255	
chr21:16407655-16407767	
chr21:16372813-16372924	
chr21:16349593-16349705	
chr21:15871964-15872090	
chr21:15832674-15832785	
chr21:15783158-15783270	
chr21:15730311-15730436	
chr21:14975619-14975733	
chr21:14964123-14964233	
chr21:14961965-14962093	
chr21:14534474-14534585	
chr21:14298705-14298823	
chr21:14295228-14295342	
chr21:14106693-14106824	
chr21:14106337-14106448	
chr21:14100369-14100485	
chr21:14097240-14097350	
chr21:14095992-14096111	
chr21:14094370-14094480	
chr21:14088709-14088827	
chr21:14085925-14086039	
chr21:14079934-14080047	
chr21:14069567-14069679	
chr21:14044137-14044251	
chr21:13943718-13943831	
chr21:13939314-13939426	
chr21:13934202-13934312	
chr21:9078197-9078322	
chr21:8986955-8987065	
chr21:8462061-8462196	
chr21:8445908-8446018	0
chr21:8443290-8443401	
chr21:8441963-8442086	
chr21:8441877-8441989	
chr21:8437518-8437630	1
chr21:8400216-8400326	
chr21:8258842-8258954	
chr21:8219935-8220047	
chr21:8218638-8218748	
chr21:8214699-8214822	
chr21:8214619-8214731	
chr21:8208429-8208539	
chr21:8207873-8207984	
chr21:8200659-8200778	
chr21:7771619-7771733	
chr21:7758524-7758635	
chr21:6733482-6733598	
chr21:6484617-6484728	
chr21:6328756-6328869	
chr21:6123572-6123683	
chr21:6121844-6121972	
chr21:5156467-5156582	
chr20:64274249-64274366	
chr20:64255825-64255946	
chr20:63958785-63958895	
chr20:63895144-63895265	
chr20:63732295-63732406	
chr20:63732238-63732349	
chr20:63731655-63731765	
chr20:63718288-63718398	
chr20:63697011-63697121	
chr20:63558495-63558606	
chr20:63537264-63537376	
chr20:63196076-63196191	
chr20:63195729-63195844	
chr20:62945306-62945419	
chr20:62905289-62905400	
chr20:62888603-62888715	
chr20:62326182-62326295	
chr20:62295278-62295390	
chr20:62278499-62278610	
chr20:62202388-62202511	
chr20:62197005-62197115	
chr20:62188078-62188196	
chr20:62134424-62134540	
chr20:59947987-59948098	
chr20:59947454-59947564	
chr20:59937616-59937729	
chr20:59324548-59324658	
chr20:59034840-59034959	
chr20:58713096-58713206	
chr20:58704237-58704347	
chr20:58694867-58694977	
chr20:58678589-58678707	
chr20:58439479-58439591	
chr20:58366869-58366979	
chr20:58365962-58366072	
chr20:58355322-58355432	
chr20:57651804-57651915	
chr20:57651520-57651630	
chr20:57648707-57648819	
chr20:57566111-57566247	
chr20:57168895-57169005	
chr20:56638214-56638325	
chr20:53944265-53944378	
chr20:53943915-53944027	
chr20:53568700-53568813	
chr20:53567782-53567894	
chr20:53494586-53494697	
chr20:53493687-53493799	
chr20:53487222-53487343	
chr20:53295985-53296105	
chr20:53223848-53223982	
chr20:53160989-53161104	
chr20:53130195-53130317	
chr20:53077207-53077317	
chr20:53039731-53039865	
chr20:53030038-53030148	
chr20:53027063-53027173	
chr20:52972896-52973010	
chr20:52972776-52972886	
chr20:52186498-52186608	
chr20:52164709-52164820	
chr20:51767023-51767140	
chr20:51753616-51753731	
chr20:51747048-51747165	
chr20:51600757-51600896	
chr20:51597838-51597948	
chr20:51529308-51529420	
chr20:51505409-51505524	
chr20:51476025-51476142	
chr20:51460589-51460702	
chr20:51398520-51398633	
chr20:51388634-51388744	
chr20:50960383-50960493	
chr20:50930827-50930943	
chr20:50906926-50907037	
chr20:50890081-50890211	
chr20:50889984-50890095	
chr20:50837949-50838072	
chr20:50753025-50753136	
chr20:50192177-50192290	
